,Phi,Theta,E_deloc,E_nonbond
187,20,310,-589.3119440955998,-981.3731584946001
319,25,310,-589.3078726911999,-981.3728756867001
37,30,310,-589.3028411367,-981.3723756765
273,40,310,-589.2898739712999,-981.3704015298
166,50,310,-589.2730353358999,-981.3662855756
356,60,310,-589.2523584192,-981.3583428563
237,0,320,-589.3208982606001,-981.3709273489
101,5,320,-589.3205164319999,-981.3710408143
129,10,320,-589.319215907,-981.3710137620001
8,15,320,-589.3169939270999,-981.3708158514
208,20,320,-589.3138235318999,-981.3704262637001
305,25,320,-589.3097198572001,-981.3697652513
43,30,320,-589.3046592286,-981.36877235
265,40,320,-589.2916127815,-981.3653836202999
158,50,320,-589.2746422881,-981.3590554156999
357,60,320,-589.2536973076999,-981.3478853543002
230,0,330,-589.3229545124,-981.3679074501999
85,5,330,-589.3225324827,-981.3680800532001
135,10,330,-589.3211955865,-981.3680422511001
31,15,330,-589.3189420184001,-981.3677714413
195,20,330,-589.3157490689999,-981.3672425532001
310,25,330,-589.3116356142999,-981.3663618366
68,30,330,-589.3065765401999,-981.3650602586
274,40,330,-589.2935482146,-981.3607856443999
163,50,330,-589.2765706637999,-981.353147841
355,60,330,-589.2554636511999,-981.3402179159001
231,0,340,-589.3246784727,-981.364114017
95,5,340,-589.3242562225001,-981.3643682581
119,10,340,-589.3229206727999,-981.3643949155
27,15,340,-589.3206712034,-981.3641751256
209,20,340,-589.3174861209999,-981.3636939959
306,25,340,-589.3133894647,-981.3628613853001
46,30,340,-589.308361235,-981.3616076155
256,40,340,-589.295451982,-981.3574443634
178,50,340,-589.2786587502,-981.3500450257001
346,60,340,-589.2577099729,-981.3376987926
222,0,350,-589.3259248253,-981.3605392692
96,5,350,-589.3255639524998,-981.3606808639001
120,10,350,-589.3242860057001,-981.3606498403999
33,15,350,-589.3220967274999,-981.3604185250001
198,20,350,-589.3189799023999,-981.3599699578001
308,25,350,-589.3149633398001,-981.3592265077999
38,30,350,-589.3100296318999,-981.3581394431001
281,40,350,-589.2973662096001,-981.354615925
160,50,350,-589.2809348919,-981.3484173877
353,60,350,-589.2605193287999,-981.3381313552001
